"","Subj","Age","Test","Probe","Accuracy","Rating"
"1",101,0,0,0,1,1
"2",101,0,0,0,1,1
"3",101,0,0,0,1,1
"4",101,0,0,0,1,1
"5",101,0,0,0,1,1
"6",101,0,0,0,1,1
"7",101,0,0,0,1,1
"8",101,0,0,0,1,1
"9",101,0,0,0,1,1
"10",101,0,0,0,1,1
"11",101,0,0,0,1,1
"12",101,0,0,0,1,1
"13",101,0,0,0,1,1
"14",101,0,0,0,1,1
"15",101,0,0,0,1,1
"16",101,0,0,0,1,1
"17",101,0,0,0,1,1
"18",101,0,0,0,1,1
"19",101,0,0,0,1,1
"20",101,0,0,0,1,1
"21",101,0,0,0,1,1
"22",101,0,0,0,1,2
"23",101,0,0,0,1,2
"24",101,0,0,0,1,2
"25",101,0,0,0,1,2
"26",101,0,0,0,0,4
"27",101,0,0,0,0,5
"28",101,0,0,0,0,5
"29",101,0,0,0,0,6
"30",101,0,0,0,0,6
"31",101,0,0,1,1,1
"32",101,0,0,1,1,2
"33",101,0,0,1,1,3
"34",101,0,0,1,1,3
"35",101,0,0,1,1,3
"36",101,0,0,1,1,3
"37",101,0,0,1,1,4
"38",101,0,0,1,1,4
"39",101,0,0,1,1,5
"40",101,0,0,1,1,5
"41",101,0,0,1,1,5
"42",101,0,0,1,1,5
"43",101,0,0,1,1,5
"44",101,0,0,1,1,5
"45",101,0,0,1,1,5
"46",101,0,0,1,1,5
"47",101,0,0,1,1,6
"48",101,0,0,1,1,6
"49",101,0,0,1,1,6
"50",101,0,0,1,1,6
"51",101,0,0,1,1,6
"52",101,0,0,1,1,6
"53",101,0,0,1,1,6
"54",101,0,0,1,1,6
"55",101,0,0,1,0,6
"56",101,0,0,1,0,6
"57",101,0,0,1,0,6
"58",101,0,0,1,0,6
"59",101,0,0,1,0,6
"60",101,0,0,1,0,6
"61",101,0,1,0,1,1
"62",101,0,1,0,1,1
"63",101,0,1,0,1,1
"64",101,0,1,0,1,1
"65",101,0,1,0,1,1
"66",101,0,1,0,1,1
"67",101,0,1,0,1,1
"68",101,0,1,0,1,1
"69",101,0,1,0,1,1
"70",101,0,1,0,1,1
"71",101,0,1,0,1,1
"72",101,0,1,0,1,1
"73",101,0,1,0,1,2
"74",101,0,1,0,1,2
"75",101,0,1,0,1,2
"76",101,0,1,0,1,2
"77",101,0,1,0,1,2
"78",101,0,1,0,1,3
"79",101,0,1,0,1,3
"80",101,0,1,0,1,3
"81",101,0,1,0,0,4
"82",101,0,1,0,0,4
"83",101,0,1,0,0,4
"84",101,0,1,0,0,4
"85",101,0,1,0,0,4
"86",101,0,1,0,0,5
"87",101,0,1,0,0,5
"88",101,0,1,0,0,5
"89",101,0,1,0,0,6
"90",101,0,1,0,0,6
"91",101,0,1,1,1,1
"92",101,0,1,1,1,1
"93",101,0,1,1,1,1
"94",101,0,1,1,1,2
"95",101,0,1,1,1,2
"96",101,0,1,1,1,2
"97",101,0,1,1,1,2
"98",101,0,1,1,1,2
"99",101,0,1,1,1,3
"100",101,0,1,1,1,4
"101",101,0,1,1,1,4
"102",101,0,1,1,1,4
"103",101,0,1,1,1,4
"104",101,0,1,1,1,5
"105",101,0,1,1,1,5
"106",101,0,1,1,1,5
"107",101,0,1,1,1,5
"108",101,0,1,1,1,5
"109",101,0,1,1,1,5
"110",101,0,1,1,1,5
"111",101,0,1,1,1,5
"112",101,0,1,1,0,5
