Call: 
traitMPT(eqnfile = "2htmratings2.eqn", data = dy, restrictions = list("q1_A=q6_A", 
    "q2_A=q5_A", "q1_B=q6_B", "q2_B=q5_B"), n.iter = 75000, n.adapt = 15000, 
    n.burnin = 10000, n.thin = 10, n.chains = 4, modelfilename = "young.jags", 
    parEstFile = "youngratings.txt", posteriorFile = "youngratingsmod.RData")

Group-level medians of MPT parameters (probability scale):
           Mean    SD  2.5%   50% 97.5% Time-series SE n.eff  Rhat R_95%
mean_b_A  0.736 0.053 0.622 0.738 0.832          0.001  1350 1.004 1.012
mean_b_B  0.575 0.058 0.462 0.576 0.689          0.002   939 1.000 1.001
mean_pn_A 0.657 0.043 0.560 0.661 0.731          0.001  1450 1.001 1.002
mean_pn_B 0.528 0.064 0.384 0.534 0.639          0.002  1049 1.001 1.002
mean_po_A 0.683 0.059 0.566 0.684 0.796          0.002  1081 1.001 1.003
mean_po_B 0.811 0.086 0.608 0.822 0.944          0.003   630 1.002 1.006
mean_q1_A 0.047 0.026 0.008 0.044 0.107          0.001  1755 1.003 1.008
mean_q1_B 0.121 0.032 0.063 0.120 0.186          0.001  1725 1.002 1.005
mean_q2_A 0.400 0.054 0.295 0.400 0.509          0.002  1161 1.001 1.003
mean_q2_B 0.318 0.039 0.241 0.318 0.394          0.001  3474 1.001 1.002
mean_r1   0.298 0.054 0.199 0.296 0.410          0.002   630 1.007 1.018
mean_r2   0.662 0.048 0.576 0.659 0.766          0.002   971 1.002 1.003
mean_r5   0.894 0.066 0.754 0.899 0.994          0.002  1898 1.004 1.009
mean_r6   0.813 0.059 0.689 0.815 0.918          0.002   631 1.004 1.005

Mean/Median of latent-trait values (probit-scale) across individuals:
                 Mean    SD   2.5%    50%  97.5% Time-series SE n.eff  Rhat R_95%
latent_mu_b_A   0.638 0.164  0.309  0.638  0.960          0.005  1303 1.004 1.012
latent_mu_b_B   0.192 0.150 -0.097  0.191  0.493          0.005   947 1.000 1.001
latent_mu_pn_A  0.406 0.117  0.150  0.415  0.617          0.003  1455 1.001 1.002
latent_mu_pn_B  0.071 0.163 -0.296  0.084  0.355          0.005  1051 1.001 1.002
latent_mu_po_A  0.484 0.168  0.166  0.479  0.826          0.005  1078 1.001 1.003
