"trial","cond","id","signal","item","group","d","s","a","b","rating"
1,-1,1,0,4,1,0.680148440380351,0.938552840326835,1.26315393863461,1.36438982245792,1
2,-1,1,0,3,1,0.735841189888255,0.956160483659993,1.2629169776285,1.38382470327821,4
3,-1,1,0,16,1,0.956268913466822,1.13859081510968,1.36915925609772,1.62111584768054,2
4,-1,1,0,14,1,0.555523608499001,1.34105043182556,1.4610940416475,0.968365201358414,2
5,-1,1,0,7,1,0.911846693081595,1.1485339596634,1.14341454542163,1.59364243056765,2
6,-1,1,0,18,1,0.507024815185641,1.1859585636039,1.31057299606032,1.61339875729629,4
7,-1,1,0,10,1,0.633175199929941,1.19348211117733,1.20283686540846,1.37154062673988,1
8,-1,1,0,15,1,0.659527142157699,0.983549761640672,1.16051366873815,1.0265241922194,1
9,-1,1,0,9,1,0.585830096008533,1.13931593899989,0.911820932271304,1.47536950754077,1
10,-1,1,0,13,1,0.637026803657032,1.02221143054082,1.15617322786404,1.17886689350137,3
11,-1,1,0,11,1,0.878575552122043,0.921543004416929,1.33697903704138,1.45745322796173,3
12,-1,1,0,8,1,0.613579819777708,1.08807814390257,1.22535379719853,0.965184848150166,4
13,-1,1,0,17,1,0.816625469718514,1.26415455490146,1.15802747213442,1.31677381956292,2
14,-1,1,0,12,1,0.728249878117058,1.07347821501323,1.06114672889907,1.94495086512131,1
15,-1,1,0,19,1,0.83495944555897,1.00864269763784,1.12625071943193,1.42996597007395,1
16,-1,1,0,6,1,0.656246543522526,1.14168193330826,1.30327715561297,1.78063957635613,2
17,-1,1,0,1,1,0.570820891229128,1.02844637209331,1.01515756293119,0.983355664494286,3
18,-1,1,0,2,1,0.764795577920296,1.08860121692306,1.03359607710975,1.2310176597126,1
19,-1,1,0,5,1,0.790777258000131,1.05723701963805,1.34426566767092,1.81893139122413,2
20,-1,1,0,20,1,0.764613095405632,0.936838463916501,1.31931887868957,1.81055955882681,3
21,-1,1,1,4,1,0.680148440380351,0.938552840326835,1.26315393863461,1.36438982245792,4
22,-1,1,1,3,1,0.735841189888255,0.956160483659993,1.2629169776285,1.38382470327821,4
23,-1,1,1,16,1,0.956268913466822,1.13859081510968,1.36915925609772,1.62111584768054,3
24,-1,1,1,14,1,0.555523608499001,1.34105043182556,1.4610940416475,0.968365201358414,1
25,-1,1,1,7,1,0.911846693081595,1.1485339596634,1.14341454542163,1.59364243056765,2
26,-1,1,1,18,1,0.507024815185641,1.1859585636039,1.31057299606032,1.61339875729629,2
27,-1,1,1,10,1,0.633175199929941,1.19348211117733,1.20283686540846,1.37154062673988,2
28,-1,1,1,15,1,0.659527142157699,0.983549761640672,1.16051366873815,1.0265241922194,6
29,-1,1,1,9,1,0.585830096008533,1.13931593899989,0.911820932271304,1.47536950754077,1
30,-1,1,1,13,1,0.637026803657032,1.02221143054082,1.15617322786404,1.17886689350137,1
31,-1,1,1,11,1,0.878575552122043,0.921543004416929,1.33697903704138,1.45745322796173,4
32,-1,1,1,8,1,0.613579819777708,1.08807814390257,1.22535379719853,0.965184848150166,4
33,-1,1,1,17,1,0.816625469718514,1.26415455490146,1.15802747213442,1.31677381956292,1
34,-1,1,1,12,1,0.728249878117058,1.07347821501323,1.06114672889907,1.94495086512131,4
35,-1,1,1,19,1,0.83495944555897,1.00864269763784,1.12625071943193,1.42996597007395,2
36,-1,1,1,6,1,0.656246543522526,1.14168193330826,1.30327715561297,1.78063957635613,4
37,-1,1,1,1,1,0.570820891229128,1.02844637209331,1.01515756293119,0.983355664494286,4
38,-1,1,1,2,1,0.764795577920296,1.08860121692306,1.03359607710975,1.2310176597126,3
39,-1,1,1,5,1,0.790777258000131,1.05723701963805,1.34426566767092,1.81893139122413,3
40,-1,1,1,20,1,0.764613095405632,0.936838463916501,1.31931887868957,1.81055955882681,1
1,1,1,0,4,1,0.826877955137162,0.978129348149901,1.26315393863461,1.36438982245792,2
2,1,1,0,3,1,0.894585390889436,0.996479463301564,1.2629169776285,1.38382470327821,3
3,1,1,0,16,1,1.16256634108651,1.18660244148308,1.36915925609772,1.62111584768054,1
4,1,1,0,14,1,0.675367608237393,1.3975992915443,1.4610940416475,0.968365201358414,2
5,1,1,0,7,1,1.108560843795,1.19696486444213,1.14341454542163,1.59364243056765,2
6,1,1,0,18,1,0.616406092396609,1.2359675735963,1.31057299606032,1.61339875729629,2
7,1,1,0,10,1,0.769771102127133,1.24380837101077,1.20283686540846,1.37154062673988,2
8,1,1,0,15,1,0.80180799114947,1.02502368102319,1.16051366873815,1.0265241922194,1
9,1,1,0,9,1,0.712212162942625,1.18735814209745,0.911820932271304,1.47536950754077,2
10,1,1,0,13,1,0.77445361850852,1.06531561918036,1.15617322786404,1.17886689350137,3
11,1,1,0,11,1,1.06811206619237,0.960402248517558,1.33697903704138,1.45745322796173,3
12,1,1,0,8,1,0.745948379161904,1.13395977285728,1.22535379719853,0.965184848150166,2
13,1,1,0,17,1,0.992797393075191,1.31746090109951,1.15802747213442,1.31677381956292,3
14,1,1,0,12,1,0.885356393244942,1.1187442002076,1.06114672889907,1.94495086512131,1
15,1,1,0,19,1,1.01508658695177,1.0511747255627,1.12625071943193,1.42996597007395,2
16,1,1,0,6,1,0.797819663705007,1.18982390467483,1.30327715561297,1.78063957635613,1
17,1,1,0,1,1,0.693964998324724,1.07181347316839,1.01515756293119,0.983355664494286,4
18,1,1,0,2,1,0.929786155526628,1.13450490260447,1.03359607710975,1.2310176597126,4
19,1,1,0,5,1,0.961372905153559,1.10181815282601,1.34426566767092,1.81893139122413,4
20,1,1,0,20,1,0.929564305766171,0.976342680624459,1.31931887868957,1.81055955882681,2
21,1,1,1,4,1,0.826877955137162,0.978129348149901,1.26315393863461,1.36438982245792,2
22,1,1,1,3,1,0.894585390889436,0.996479463301564,1.2629169776285,1.38382470327821,3
23,1,1,1,16,1,1.16256634108651,1.18660244148308,1.36915925609772,1.62111584768054,4
24,1,1,1,14,1,0.675367608237393,1.3975992915443,1.4610940416475,0.968365201358414,3
25,1,1,1,7,1,1.108560843795,1.19696486444213,1.14341454542163,1.59364243056765,4
26,1,1,1,18,1,0.616406092396609,1.2359675735963,1.31057299606032,1.61339875729629,4
27,1,1,1,10,1,0.769771102127133,1.24380837101077,1.20283686540846,1.37154062673988,4
28,1,1,1,15,1,0.80180799114947,1.02502368102319,1.16051366873815,1.0265241922194,4
29,1,1,1,9,1,0.712212162942625,1.18735814209745,0.911820932271304,1.47536950754077,3
30,1,1,1,13,1,0.77445361850852,1.06531561918036,1.15617322786404,1.17886689350137,3
31,1,1,1,11,1,1.06811206619237,0.960402248517558,1.33697903704138,1.45745322796173,2
32,1,1,1,8,1,0.745948379161904,1.13395977285728,1.22535379719853,0.965184848150166,4
33,1,1,1,17,1,0.992797393075191,1.31746090109951,1.15802747213442,1.31677381956292,2
34,1,1,1,12,1,0.885356393244942,1.1187442002076,1.06114672889907,1.94495086512131,1
35,1,1,1,19,1,1.01508658695177,1.0511747255627,1.12625071943193,1.42996597007395,4
36,1,1,1,6,1,0.797819663705007,1.18982390467483,1.30327715561297,1.78063957635613,2
37,1,1,1,1,1,0.693964998324724,1.07181347316839,1.01515756293119,0.983355664494286,2
38,1,1,1,2,1,0.929786155526628,1.13450490260447,1.03359607710975,1.2310176597126,6
39,1,1,1,5,1,0.961372905153559,1.10181815282601,1.34426566767092,1.81893139122413,2
